217966:	[2, 5]
287164:	[9]
366298:	[]
380501:	[2]
383624:	[1, 2, 5, 6]
383968:	[]
383970:	[]
384667:	[3, 4, 10]
385132:	[]
385293:	[]
385374:	[]
388739:	[2, 4, 6, 8]
391376:	[1, 2, 3]
391895:	[1, 2, 3, 4, 5, 6, 7, 8, 9]
392099:	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
392862:	[3, 4, 5]
395612:	[1, 8]
395663:	[1, 5]
398267:	[2]
398490:	[5]
399769:	[4]
399979:	[3]
400568:	[1, 2, 3]
400899:	[1]
401246:	[1]
401487:	[1]
401790:	[2, 3, 5, 6]
401848:	[3]
402173:	[3, 4, 5]
402231:	[1, 8]
402892:	[]
403705:	[]
403810:	[]
403985:	[8, 9]
404285:	[2, 3, 5]
404690:	[3, 5]
405025:	[2]
405067:	[2, 4, 5]
405068:	[2, 3, 4, 7, 8, 10]
405069:	[6]
405071:	[1, 2, 10]
405104:	[1, 2, 4, 5, 6, 10]
406319:	[1, 2, 3, 4, 5, 7]
407297:	[1]
409236:	[1, 4]
409245:	[2, 7, 8, 9]
410402:	[]
412149:	[1, 2, 3, 4, 6, 8, 10]
412150:	[3]
412151:	[1, 2, 4]
412153:	[1]
412650:	[1]
413913:	[]
420004:	[4]
421711:	[1]
423504:	[1, 2, 3, 4, 5, 7, 9, 10]
423505:	[1, 3, 6]
424053:	[5, 7]
424286:	[]
424591:	[]
426678:	[1, 2]
426792:	[1, 2, 5, 6, 7]
428468:	[1, 4, 5, 8, 9]
472815:	[2, 7, 9, 10]
478042:	[2]
11076:	[]
110797:	[3]
114116:	[]
14597:	[]
152135:	[]
153399:	[]
161704:	[1, 2, 4]
162740:	[]
176320:	[]
178039:	[1, 2, 3, 7]
178760:	[]
179672:	[7]
180169:	[1, 3]
222080:	[2]
23162:	[1]
234074:	[]
24934:	[1, 2, 3]
252556:	[1, 5]
26588:	[5]
28951:	[10]
291322:	[]
29621:	[1, 9]
326950:	[3, 6, 7, 10]
335309:	[]
337415:	[1]
341296:	[3]
356620:	[5, 7, 9]
356851:	[1, 2, 5, 6]
357110:	[]
363293:	[]
369381:	[1]
373953:	[6]
380313:	[]
392581:	[1]
393781:	[]
403147:	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
410207:	[]
413083:	[2]
418599:	[]
423409:	[]
427218:	[6]
434630:	[1]
437444:	[1, 3, 5, 6, 7, 8, 9]
438875:	[]
442245:	[]
449659:	[7]
455042:	[1, 3]
455427:	[4, 8]
462147:	[]
465296:	[1]
465910:	[1, 2, 4, 6]
467618:	[2, 7]
471062:	[2, 7]
476859:	[10]
479474:	[5, 6]
480029:	[2]
483228:	[4]
483895:	[]
485302:	[]
489963:	[4, 10]
51529:	[]
65738:	[]
73675:	[8]
85384:	[7]
86970:	[1, 2, 3, 8]
90612:	[1, 3, 8, 9]
94965:	[4]
