424710:	[7, 9]
424198:	[1, 7]
436486:	[]
430084:	[]
410114:	[]
46084:	[8]
424195:	[]
246276:	[]
455180:	[4]
88845:	[2]
424712:	[6]
429833:	[2, 9]
424727:	[3]
424725:	[9]
429845:	[2, 4]
478225:	[1]
427537:	[1]
420894:	[2]
93208:	[3, 6]
375326:	[1]
418843:	[]
377883:	[6]
424742:	[]
69152:	[]
412453:	[1]
497698:	[]
83236:	[1]
153130:	[]
450604:	[1, 3, 4, 10]
431402:	[1, 9]
448043:	[]
406846:	[1]
406847:	[1]
72248:	[2]
471611:	[1]
406584:	[1]
190268:	[1]
471352:	[1, 3]
400710:	[8]
425798:	[1, 2, 3, 4, 10]
426563:	[1]
476738:	[]
426048:	[]
336451:	[]
93254:	[4, 7]
471883:	[5]
426315:	[6]
414038:	[5]
447062:	[]
428112:	[6]
466512:	[3]
362591:	[3]
421469:	[]
422489:	[1, 2, 7, 8, 9]
490343:	[1, 7]
427367:	[]
431716:	[]
92005:	[2]
44647:	[]
429934:	[2, 9]
429935:	[1]
406636:	[2]
143212:	[2]
401271:	[2]
406388:	[3]
422516:	[1, 8]
416885:	[]
422515:	[6]
423280:	[1]
448112:	[8]
406641:	[1]
53624:	[4]
383096:	[9]
436091:	[10]
434297:	[2]
424071:	[4]
437639:	[1]
439431:	[]
460422:	[]
122755:	[5]
204417:	[1]
277382:	[]
393356:	[1]
424589:	[5, 6, 8]
240264:	[2, 8]
483467:	[]
474762:	[10]
494487:	[5]
25233:	[6]
29585:	[1, 2]
27027:	[]
137623:	[4]
380048:	[1, 3]
432531:	[1, 4]
422801:	[4]
423582:	[]
475294:	[3]
427677:	[1]
456861:	[5]
408230:	[1, 2, 5]
419748:	[1, 4, 8, 9]
429733:	[3]
423584:	[6, 8]
427168:	[4]
427438:	[1, 3, 4, 5, 6, 7, 8, 9, 10]
367023:	[]
431275:	[3]
71852:	[1, 3]
427433:	[]
425142:	[7, 10]
424119:	[3]
424628:	[3]
422832:	[4, 6]
462768:	[1]
430015:	[2]
154811:	[]
420284:	[2]
424637:	[3]
464570:	[]
488888:	[]
481223:	[]
249027:	[4]
427207:	[1]
460484:	[1, 5]
423872:	[2]
425152:	[2, 5, 7]
500673:	[]
58314:	[8, 9]
424138:	[]
430027:	[4, 7]
100302:	[1, 3]
277204:	[3]
375248:	[1]
424403:	[3, 4, 6]
430035:	[1, 5, 7, 9, 10]
427216:	[4]
464081:	[1, 2]
443870:	[2]
425951:	[1, 2]
412639:	[]
392671:	[3]
427749:	[3]
361441:	[]
430307:	[2]
446691:	[]
428524:	[2]
422134:	[4]
427255:	[]
381172:	[1, 7]
403444:	[8]
406773:	[1]
68594:	[]
427504:	[1]
464369:	[1, 4, 9]
402673:	[5]
471034:	[1]
404728:	[4]
418041:	[7]
419833:	[]
