263173:	[4, 5]
270342:	[2]
244742:	[]
305155:	[9]
401418:	[2]
334864:	[8]
334876:	[3]
28698:	[]
103450:	[3, 4]
258072:	[]
410650:	[1]
90140:	[9]
321574:	[1]
236582:	[]
217126:	[]
272418:	[]
317474:	[1, 2]
27687:	[3]
319532:	[1, 4]
425006:	[]
304174:	[10]
162856:	[9]
426025:	[1]
124978:	[1, 2]
283697:	[]
11317:	[1]
55349:	[]
475198:	[1]
361535:	[1, 2, 4, 5, 6]
284728:	[1]
331845:	[1, 6]
113731:	[]
96328:	[1]
26699:	[]
239695:	[3]
271446:	[1, 3, 4]
258135:	[2]
256087:	[6]
66646:	[2]
267358:	[1]
331864:	[]
273499:	[1]
305255:	[1]
462948:	[]
140392:	[2, 3, 5, 8]
443498:	[4, 5, 7, 8, 10]
323690:	[1, 7]
341109:	[3]
102512:	[4]
204914:	[1, 3, 6]
285814:	[2, 6]
151668:	[]
373885:	[4]
65659:	[2]
317563:	[1, 5, 6]
22655:	[1]
397447:	[]
313478:	[2]
88195:	[]
53383:	[]
374920:	[5]
437398:	[]
201878:	[1, 3, 4]
416915:	[]
285852:	[2]
153755:	[1, 2, 4, 5, 6, 8, 9, 10]
321693:	[]
285854:	[3]
310424:	[2, 4]
309415:	[]
427169:	[1, 2, 7]
279715:	[5]
91306:	[]
337077:	[2]
272567:	[7]
141492:	[5]
81078:	[3]
81083:	[2, 5]
373950:	[1]
54459:	[]
63675:	[7]
373944:	[3]
460997:	[1, 2]
32967:	[1, 8]
430286:	[3, 5]
365775:	[1]
405704:	[1, 2, 7]
385237:	[8]
183507:	[2]
99540:	[1]
303314:	[3]
316627:	[1, 2]
479440:	[7, 9]
297183:	[7]
424166:	[1]
121057:	[4]
42208:	[]
154851:	[1, 6]
66787:	[]
235750:	[1, 3]
396524:	[5, 8]
332008:	[]
100593:	[6]
189682:	[1]
388342:	[]
81140:	[1]
46332:	[]
401666:	[3]
371968:	[1, 10]
318734:	[]
276744:	[1]
318731:	[]
416022:	[]
420116:	[1]
339223:	[1, 2, 3, 4, 5, 6]
81172:	[]
278802:	[1, 4]
124182:	[1]
335132:	[3]
99610:	[1, 2, 3, 4, 7, 8, 9, 10]
82204:	[9]
228641:	[2]
403749:	[1, 2, 3, 4, 5, 6, 7, 8, 9]
45349:	[]
331053:	[3]
372013:	[2]
102696:	[]
149803:	[1]
149801:	[1]
9517:	[]
318772:	[4, 7]
377141:	[1]
236850:	[1, 2]
311603:	[1]
153912:	[]
295230:	[10]
264504:	[4]
337209:	[1, 4]
398648:	[5]
200000:	[5, 7, 10]
43332:	[]
232773:	[]
129354:	[]
466252:	[]
210255:	[1]
330057:	[6]
55628:	[1]
197969:	[1]
259408:	[10]
477523:	[]
310609:	[1]
259413:	[]
41302:	[2]
312659:	[]
165210:	[1, 4]
18780:	[8]
53603:	[]
43364:	[]
272737:	[9]
331116:	[4]
279924:	[1]
342391:	[2, 10]
70005:	[3]
315772:	[1, 3]
343422:	[2]
186754:	[9]
414084:	[3, 4]
393602:	[4]
176516:	[1, 3, 4, 5, 6, 7]
368015:	[1, 2, 3, 4, 5, 8, 9]
465293:	[1, 4, 5]
489869:	[1, 4]
201096:	[2]
320916:	[6]
430487:	[1, 6]
414100:	[3, 4]
202129:	[2]
222609:	[]
313751:	[]
335249:	[9]
303506:	[1, 2]
245140:	[1, 4]
390546:	[4]
215448:	[]
199064:	[]
185759:	[2]
90528:	[]
265645:	[1, 2]
279981:	[]
414122:	[2]
480682:	[4]
276906:	[7]
335275:	[1, 7]
62896:	[1]
8624:	[1, 2, 8]
215473:	[1, 2, 5, 6, 9]
260528:	[]
252340:	[]
267710:	[1, 2, 3, 4, 5, 6, 10]
70079:	[]
58817:	[8]
394692:	[3, 7]
5571:	[1]
51653:	[1]
59845:	[]
243147:	[1]
172491:	[]
403917:	[1, 2, 4]
403927:	[1, 2]
306646:	[]
320983:	[]
49619:	[]
387536:	[1]
26070:	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
233941:	[]
30169:	[]
255448:	[7]
458200:	[1, 2, 4, 5]
251356:	[1]
251362:	[2]
257505:	[8]
344544:	[2]
188910:	[1, 9]
344552:	[]
31214:	[2]
340470:	[1, 2, 4, 5, 7, 8, 9, 10]
59891:	[]
153079:	[3]
14837:	[]
44535:	[]
300542:	[2, 10]
202239:	[5, 10]
421383:	[]
144902:	[]
267776:	[5]
303617:	[]
383491:	[7]
202245:	[1, 4]
286221:	[6]
35339:	[]
396808:	[4]
52750:	[8]
321035:	[1, 3, 7]
396809:	[]
252432:	[]
352785:	[2]
462352:	[1, 2, 4, 5]
311835:	[6, 8]
329252:	[]
329248:	[]
331311:	[1, 4, 5, 6]
267829:	[6]
13877:	[]
67124:	[]
296498:	[4]
165434:	[4]
178744:	[]
79419:	[]
478780:	[1]
331320:	[6]
375354:	[3]
460359:	[2, 9]
52801:	[]
263751:	[1]
439874:	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
45638:	[]
242244:	[3, 4, 8]
154186:	[3]
266831:	[5]
108115:	[]
289362:	[3, 6, 9]
13916:	[4]
262746:	[2, 3, 4, 5, 6, 10]
133731:	[9]
13921:	[]
19043:	[]
274023:	[]
38499:	[]
440930:	[1]
436832:	[3, 9]
357997:	[2]
262766:	[1, 5, 6, 8, 10]
422506:	[]
64108:	[]
439912:	[2, 3, 6]
62062:	[]
262763:	[1, 2, 3, 4]
298603:	[1, 4, 9]
47731:	[]
262768:	[3, 6]
28277:	[]
211578:	[]
194175:	[1]
297593:	[2]
216707:	[]
321157:	[3]
312966:	[9]
421506:	[3]
317057:	[3]
254603:	[1, 5]
324237:	[1, 8]
37513:	[]
395919:	[1]
247433:	[4]
267918:	[1, 6]
492173:	[]
432781:	[1]
398995:	[2, 3, 4, 7]
416401:	[1]
19097:	[1, 5]
304792:	[]
234143:	[]
32412:	[]
126625:	[3, 4, 6]
167590:	[1]
7845:	[1, 2, 4, 5, 6, 7]
21159:	[5]
330415:	[5]
289455:	[1, 2]
252591:	[]
274091:	[1]
331447:	[1, 7]
290491:	[2]
12996:	[6]
19145:	[]
312014:	[]
338638:	[]
67274:	[]
244431:	[]
332489:	[1, 7]
249549:	[3]
24271:	[]
185043:	[2]
266962:	[1, 3, 4, 6, 8]
108247:	[]
41688:	[1]
465630:	[3]
308957:	[]
333541:	[]
338656:	[5]
392931:	[6, 7]
94951:	[]
450286:	[1]
258792:	[1]
150249:	[]
302831:	[2]
326377:	[]
162541:	[3]
185069:	[1, 4, 5, 8]
120561:	[1, 5, 9]
83697:	[3]
120560:	[]
58098:	[]
338675:	[1]
392946:	[2, 4, 5, 7]
398076:	[]
263935:	[10]
267002:	[1]
99072:	[9]
260865:	[1]
368390:	[1]
406274:	[]
30468:	[3]
185102:	[2, 9]
62226:	[]
288529:	[1, 4, 7]
249620:	[4, 9]
381714:	[]
185113:	[1]
264997:	[2]
264999:	[3]
328481:	[4]
334625:	[1]
271139:	[]
317224:	[2, 4]
338731:	[5]
443191:	[3, 4]
181040:	[]
276285:	[2]
395071:	[]
333631:	[]
